,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
107,A1,CHEMBL42139,c1cc2c(cc1NC1=NCCN1)OCCO2,Ki,=,2400.0,nM,CHEMBL2094251,,,CHEMBL1150520,-0.5852826,-2.7875643
108,A1,CHEMBL68831,Oc1ccc(CC(O)CN2CCC(Cc3ccccc3)CC2)cc1,Ki,=,305.0,nM,CHEMBL2094251,,,CHEMBL1133913,0.44834366,3.9746294
109,A1,CHEMBL68831,Oc1ccc(CC(O)CN2CCC(Cc3ccccc3)CC2)cc1,Selectivity ratio,=,80.0,,CHEMBL2094251,,,CHEMBL1133913,0.31222096,3.9252539
110,A1,CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Ratio,<,1.0,,CHEMBL2094251,,,CHEMBL1132477,-1.4902405,-6.1907387
111,A1,CHEMBL883,N=C(N)Nc1ccc2nccnc2c1Br,Ki,=,17000.0,nM,CHEMBL2094251,,,CHEMBL1150520,-2.462676,0.41598624
112,A1,CHEMBL66626,CC(Cc1ccc(O)cc1)CN1CCC(Cc2ccccc2)CC1,Ki,=,91.5,nM,CHEMBL2094251,,,CHEMBL1133913,0.37686673,3.9703197
113,A1,CHEMBL66626,CC(Cc1ccc(O)cc1)CN1CCC(Cc2ccccc2)CC1,Selectivity ratio,=,27.0,,CHEMBL2094251,,,CHEMBL1133913,0.36398262,3.9797032
114,A1,CHEMBL302292,Oc1ccc(CC(O)CN2CCC(O)(Cc3ccc(Br)cc3)CC2)cc1,Ki,=,2439.0,nM,CHEMBL2094251,,,CHEMBL1133913,0.820546,-4.505316
115,A1,CHEMBL302292,Oc1ccc(CC(O)CN2CCC(O)(Cc3ccc(Br)cc3)CC2)cc1,Selectivity ratio,=,216.0,,CHEMBL2094251,,,CHEMBL1133913,0.73938304,-4.473448
116,A1,CHEMBL68881,Cc1ccc(CC2(O)CCN(CC(O)Cc3ccc(O)cc3)CC2)cc1,Ki,=,5915.0,nM,CHEMBL2094251,,,CHEMBL1133913,0.71361256,-4.591792
117,A1,CHEMBL68881,Cc1ccc(CC2(O)CCN(CC(O)Cc3ccc(O)cc3)CC2)cc1,Selectivity ratio,=,789.0,,CHEMBL2094251,,,CHEMBL1133913,0.7026164,-4.55116
118,A1,CHEMBL298124,CN(C1=NCCN1)c1ccc2c(c1)OCCO2,Ki,=,30000.0,nM,CHEMBL2094251,,,CHEMBL1150520,-0.7634123,-2.9478512
